TID,EN
TID_HANDSOME_COLT_SKIN,КРАСЕНЬ КОЛЬТ
TID_HANDSOME_COLT_SKIN_SHOP,КРАСЕНЬ\nКОЛЬТ
TID_CHAT_BUBBLE_ELLIPSIS,. . .
TID_TEAM_CHAT_PINNED,Team chat pinned to stay open
TID_TEAM_CHAT_UNPINNED,Team chat unpinned
TID_TEAMS_NO_PLAYERS_ONLINE,"No players online to invite, try again later!"
TID_BP_VALUE_UPTO,Up to
TID_TEAM_REQEST_INVITE_FAIL_PENDING_JOIN_REQUEST,Cannot invite. You have a pending join request
TID_TEAM_REQUEST_INVITE_FAIL_TEAM_FULL,Cannot invite. Your team is full
TID_TEAM_ERROR_126,Cannot select event. Event is not available to all Team members.
TID_GAME_MODE_6_SOLO_ONLY_DESC,"Prepare to battle in the Showdown Arena! The last Brawler still standing at the end wins.\n\nCollect Power Cubes to increase your Health and Attack damage. There are poison clouds closing in, so keep moving!"
TID_VALUE_TAG,<NUM>x<VALUE>
TID_INVALID_PLAY_INSTALL,Brawl Stars is not installed correctly. Please reinstall from the Google Play Store to fix this issue.
TID_CLAN_SEARCH_EMPTY,Input Search text first!
TID_TEAMS_INVITE_PLAYERS,Invite other players to your team from the list below
TID_OWN_TEAM_INVITE,INVITE PLAYERS
TID_SKIN_NOT_AVAILABLE,Skin not available currently
TID_DND_DISABLED_LOOKING_FOR_TEAM,Cannot change this setting while Looking For Team is enabled!
TID_DND_DISABLED_LOOKING_FOR_PLAYERS,Cannot change this setting while you have enabled Looking For Players!
TID_LFT_DISABLED_LOOKING_FOR_TEAM,Cannot change this setting while in a Team!
TID_ONLINE_LOOKING_FOR_A_TEAM,Looking for a Team
TID_ONLINE_LOOKING_FOR_PLAYERS,Looking for players
TID_ONLINE_LOOKING_FOR_A_TEAM_SETTING,Looking for a Team:
TID_ONLINE_LOOKING_FOR_PLAYERS_SETTING,Looking for players:
TID_CHINA_LOGIN_AA_POPUP_DESC_TENCENT,1）本游戏是一款多人实时对战类游戏，适用于年满12周岁及以上的用户，\n建议未成年人在家长监护下使用游戏产品。\n\n2）游戏无明显背景，需要玩家操作各种英雄与队友配合取得胜利，\n游戏有丰富多样的玩法，包含角色养成、竞技等，需要投入一定的时间和精力。\n游戏中存在基于文字的陌生人社交系统，且社交系统的管理遵循相关法律法规。\n\n3）根据国家相关要求，游戏中有用户实名认证系统，未通过实名认证的用户不可进入游戏；\n认证为未成年人的用户除周五、周六、周日及法定节假日每日20时至21时外其他时间均不可进入游戏。游戏中部分玩法和道具需要付费。根据腾讯健康系统管理规定，认证为未成年人的用户将接受以下管理：未满12周岁的用户不能付费；12周岁以上未满16周岁的未成年人用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。\n\n4）游戏以竞技为主题，画面精美，玩法多样，能够带给玩家轻松愉悦的游戏氛围，\n游戏中的排位赛有助于调动玩家的积极情绪，在比赛中获胜能够提升玩家的自信心。\n游戏提供了丰富的社交系统，包括战队、好友等，玩家之间可以互相交流，互相配合，\n共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。
TID_CHINA_LOGIN_AA_POPUP_DESC_YOOZOO,1）本游戏是一款多人实时对战类游戏，适用于年满12周岁及以上的用户，\n建议未成年人在家长监护下使用游戏产品。\n\n2）游戏无明显背景，需要玩家操作各种英雄与队友配合取得胜利，\n游戏有丰富多样的玩法，包含角色养成、竞技等，需要投入一定的时间和精力。\n游戏中存在基于文字的陌生人社交系统，且社交系统的管理遵循相关法律法规。\n\n3）本游戏中有用户实名认证系统，认证为未成年人的用户将接受以下管理：\n游戏中部分玩法和道具需要付费。未满8周岁的用户不能付费：8周岁以上未满16周岁的未成年人用户，单次充值不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。未成年人仅可在周五、周六、周日和法定节假日每日20时至21时体检1小时网络游戏服务。\n\n4）游戏以竞技为主题，画面精美，玩法多样，能够带给玩家轻松愉悦的游戏氛围，\n游戏中的排位赛有助于调动玩家的积极情绪，在比赛中获胜能够提升玩家的自信心。\n游戏提供了丰富的社交系统，包括战队、好友等，玩家之间可以互相交流，互相配合，\n共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。
TID_EMOTE_BUNDLE_RETRO_PACK,RETROPOLIS PINS
TID_SKIN_INFO_CAMPAIGN_RETRO,Retropolis
TID_SKIN_INFO_CAMPAIGN_RETRO_TITLE,Return to Retropolis
TID_RETRO_SKINS_INFO,Skin Set
TID_EMOTE_SKINS_PACK_REWARD,Own all the skins in this set and get the exclusive pin pack!
TID_RANDOM_SKIN_SWITCH_TITLE,RANDOM SKIN
TID_SKIN_GROUP_POPUP_BP,Brawl Pass exclusive Skin
TID_SKIN_GROUP_POPUP_CHALLENGE,Win the skin from the Challenge
TID_SKIN_GROUP_POPUP_CHALLENGE_LOCKED,Reach <NUM> trophies to unlock Challenges
TID_SKIN_SELECTOR_RANDOM_MODE_DISABLED,Single skin selected
TID_SKIN_SELECTOR_RANDOM_MODE_ENABLED,A skin is now chosen randomly from all selected
TID_GEAR_TOKEN_DROP_TITLE,GEAR TOKENS
TID_GEAR_TOKEN_DAMAGE,Damage Tokens
TID_GEAR_TOKEN_HEAL,Heal Tokens
TID_GEAR_TOKEN_RESISTANCE,Resistance Tokens
TID_GEAR_TOKEN_SHIELD,Shield Tokens
TID_GEAR_TOKEN_SPEED,Speed Tokens
TID_GEAR_TOKEN_TYPE_DAMAGE,ШКОДА
TID_GEAR_TOKEN_TYPE_HEAL,ЗДОРОВ'Я
TID_GEAR_VISION_TITLE,БАЧЕННЯ
TID_GEAR_TOKEN_TYPE_SHIELD,ЩИТ
TID_GEAR_TOKEN_TYPE_SPEED,ШВИДКІСТЬ
TID_GEAR_TOKEN,Gear Token
TID_GEAR_SCRAP_DROP_TITLE,SCRAP
TID_GEAR_SCRAP,Scrap
TID_GEAR_UNLOCK_SLOT,UNLOCK GEAR SLOT <NUM>
TID_GEAR_CRAFT_TITLE,Craft <NAME> Level <NUM>?
TID_GEAR_UPGRADE_TITLE,Upgrade <NAME> to Level <NUM>?
TID_GEAR_CRAFT_BUTTON,CRAFT
TID_GEAR_UPGRADE_BUTTON,UPGRADE
TID_GEAR_FOREST_SPEED_TITLE,SPEED
TID_GEAR_STANDING_HEAL_TITLE,HEALTH
TID_GEAR_LOW_HEALTH_DAMAGE_TITLE,DAMAGE
TID_GEAR_SLOW_RESISTANCE_TITLE,RESISTANCE
TID_GEAR_SHIELD_TITLE,SHIELD
TID_GEAR_FOREST_SPEED_INFO,Get a SPEED INCREASE when moving in bushes by <NUM>%.
TID_GEAR_STANDING_HEAL_INFO,RECOVER HEALTH <NUM>% more effectively
TID_GEAR_LOW_HEALTH_DAMAGE_INFO,Deal <NUM>% EXTRA DAMAGE when below 50% Health.
TID_GEAR_VISION_INFO,REVEAL opponents for <NUM> seconds after dealing damage to them
TID_GEAR_SHIELD_INFO,"Gain extra <NUM> HEALTH as a consumable SHIELD. The shield regenerates in 10 seconds, when at full health."
TID_GEAR_FOREST_SPEED_UPGRADE_INFO,Bush movement SPEED INCREASE
TID_GEAR_STANDING_HEAL_UPGRADE_INFO,RECOVER HEALTH more effectively
TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_INFO,Extra DAMAGE when below 50% health
TID_GEAR_VISION_UPGRADE_INFO,REVEAL opponents after dealing damage to them
TID_GEAR_SHIELD_UPGRADE_INFO,Gain a SHIELD that increases HEALTH
TID_GEAR_FOREST_SPEED_UPGRADE_TARGET,SPEED BOOSTED
TID_GEAR_STANDING_HEAL_UPGRADE_TARGET,RECOVERY BONUS
TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_TARGET,EXTRA DAMAGE
TID_GEAR_SLOW_RESISTANCE_UPGRADE_TARGET,REVEAL SECONDS
TID_GEAR_SHIELD_UPGRADE_TARGET,SHIELD HEALTH
TID_GEAR_UPGRADED,GEAR UPGRADED!
TID_GEAR_TITLE,GEAR
TID_GEAR_NAME_LEVEL_TITLE,<NAME> LEVEL <NUM>
TID_GEAR_LEVEL_TITLE,LEVEL <NUM>
TID_GEAR_NOT_ENOUGH_GEAR_SCRAP,Not enough Gear Scrap!
TID_GEAR_NOT_ENOUGH_GEAR_TOKENS,Not enough Gear Tokens!
TID_GEAR_LOCKED,You must upgrade your Brawler to Level <NUM> to unlock Gears
TID_GEAR_LOCKED_2,You must upgrade your Brawler to Level <NUM> to unlock this Gear
TID_GEAR_UPGRADE_MAXED_OUT,This Gear is already at MAX LEVEL!
TID_GEAR_VALUE_PERCENT,<NUM>%
TID_GEAR_UPGRADE_VALUE,<OLDNUM> <c00ff00>+<NUM></c>
TID_GEAR_UPGRADE_VALUE_PERCENT,<OLDNUM>% <c00ff00>+<NUM>%</c>
TID_GEAR_INFO,Gear: <cde9700><NAME></c>\n<DESC>
TID_ITEMS_TITLE,ITEMS
TID_TEAMUP_YOUR_SETTINGS_TITLE,PERSONAL SETTINGS
TID_TRUE_SILVER_BROCK_SKIN,СПРАВЖНІЙ СРІБНИЙ БРОК
TID_TRUE_GOLD_BROCK_SKIN,СПРАВЖНІЙ ЗОЛОТИЙ БРОК
TID_TRUE_SILVER_BROCK_SKIN_SHOP,СПРАВЖНІЙ СРІБНИЙ\nБРОК
TID_TRUE_GOLD_BROCK_SKIN_SHOP,СПРАВЖНІЙ ЗОЛОТИЙ\nБРОК
TID_TRUE_SILVER_POCO_SKIN,СПРАВЖНІЙ СРІБНИЙ ПОКО
TID_TRUE_GOLD_POCO_SKIN,СПРАВЖНІЙ ЗОЛОТИЙ ПОКО
TID_TRUE_SILVER_POCO_SKIN_SHOP,СПРАВЖНІЙ СРІБНИЙ\nПОКО
TID_TRUE_GOLD_POCO_SKIN_SHOP,СПРАВЖНІЙ ЗОЛОТИЙ\nПОКО
TID_TRUE_SILVER_MAX_SKIN,СПРАВЖНЯ СРІБНА МАКС
TID_TRUE_GOLD_MAX_SKIN,СПРАВЖНЯ ЗОЛОТА МАКС
TID_TRUE_SILVER_MAX_SKIN_SHOP,СПРАВЖНЯ СРІБНА\nМАКС
TID_TRUE_GOLD_MAX_SKIN_SHOP,СПРАВЖНЯ ЗОЛОТА\nМАКС
TID_TRUE_SILVER_PAM_SKIN,СПРАВЖНЯ СРІБНА ПАМ
TID_TRUE_GOLD_PAM_SKIN,СПРАВЖНЯ ЗОЛОТА ПАМ
TID_TRUE_SILVER_8-BIT_SKIN_SHOP,СПРАВЖНІЙ СРІБНИЙ\n8-БІТ
TID_TRUE_GOLD_8-BIT_SKIN_SHOP,СПРАВЖНІЙ ЗОЛОТИЙ\n8-БІТ
TID_TRUE_SILVER_8-BIT_SKIN,СПРАВЖНІЙ СРІБНИЙ 8-БІТ
TID_TRUE_GOLD_8-BIT_SKIN,СПРАВЖНІЙ ЗОЛОТИЙ 8-БІТ
TID_TRUE_SILVER_PAM_SKIN_SHOP,СПРАВЖНЯ СРІБНА\nPAM
TID_TRUE_GOLD_PAM_SKIN_SHOP,СПРАВЖНЯ ЗОЛОТА\nPAM
TID_GLADIATOR_COLETTE_SKIN,ГЛАДІАТОР КОЛЕТ
TID_GLADIATOR_COLETTE_SKIN_SHOP,ГЛАДІАТОР\nКОЛЕТ
TID_V8-BIT_SKIN,V8-БІТ
TID_V8-BIT_SKIN_SHOP,V8-БІТ
TID_TEAM_LOOKING_2,Team is looking for players:
TID_TEAM_PLAYER_2,I'm looking for a team:
TID_TEAM_INVITE_TEAM_UP,<NAME> wants to team up with you!
TID_TEAM_INVITE_API,You have been invited to join a tournament match!
TID_SHOWDOWN_63,Dried Up River
TID_SHOWDOWN_66,Ruins
TID_KNOCKOUT_13,Помста Луїса
TID_KNOCKOUT_15,Палаючий фенікс
TID_GEMGRAB_45,Pierced
TID_GEMGRAB_46,Gem Source
TID_BOUNTY_23,Electric Zone
TID_BOUNTY_24,Cube Force
TID_BRAWLBALL_45,Firm Grip
TID_BRAWLBALL_46,Binary Coding
TID_SIEGE_23,Robo Ring
TID_SIEGE_24,Bric-a-Brac
TID_HEIST_30,Diagonal Alley
TID_HEIST_32,Rattlesnake Ravine
TID_HOTZONE_29,Night at the Museum
TID_HOTZONE_31,Danger Zone
TID_CLUB_LEAGUE_TITLE,КЛУБОВА ЛІГА
TID_CLUB_LEAGUE_HOMESCREEN_TITLE,КЛУБОВА ЛІГА
TID_CLUB_LEAGUE_NAME,<LEAGUE> LEAGUE
TID_CLUB_LEAGUE_TAB_PROGRESS,PROGRESS
TID_CLUB_LEAGUE_TAB_REWARDS,REWARDS
TID_CLUB_LEAGUE_BUTTON_TICKETS,Tickets:
TID_CLUB_LEAGUE_EVENT_DAY,EVENT DAY <NUM>/<MAX>
TID_CLUB_LEAGUES_BUTTON_EVENT_DAY,Event Day <DAY>
TID_CLUB_LEAGUES_BUTTON_DAY_NEW,NEW DAY!
TID_CLUB_LEAGUES_BUTTON_NEXT_EVENTS,NEXT EVENTS
TID_CLUB_LEAGUES_BUTTON_RACE_COOLDOWN_DESC,Наступний день подій через:
TID_CLUB_LEAGUES_BUTTON_SEASON_COOLDOWN_DESC,Next Season starts in:
TID_CLUB_LEAGUES_BUTTON_SEASON_RANK,Ранг сезону: <RANK>
TID_CLUB_LEAGUES_BUTTON_SEASON_RANK_NOT_RANKED,Не рейтинговані в сезоні
TID_CLUB_LEAGUES_BUTTON_JOIN_CLUB_DESC,Join a Club to play
TID_CLUB_LEAGUES_BUTTON_REGISTRATION_CLOSED,Registration closed
TID_CLUB_LEAGUE_EVENT_TIME_LEFT,<TIME> left
TID_CLUB_LEAGUE_EVENT_RACE_COOLDOWN_DESC,Next Event Day Starts in:
TID_CLUB_LEAGUE_EVENT_RACE_COOLDOWN_TIME,<TIME>
TID_CLUB_LEAGUE_EVENT_SEASON_COOLDOWN_TIME,Season starts in: <TIME>
TID_CLUB_LEAGUE_EVENT_SEASON_COOLDOWN_TITLE,КЛУБОВА ЛІГА
TID_CLUB_LEAGUE_EVENT_SEASON_NEXT_EVENTS,Next season events:
TID_CLUB_LEAGUE_TICKETS_PER_PLAY,<NUM><cA4B7E0>/PLAY</c>
TID_CLUB_LEAGUE_TROPHIES_MAX_PER_WIN,Max/Win
TID_CLUB_LEAGUE_EVENT_TROPHY_WIN_DESC,Win with Club team:
TID_CLUB_LEAGUE_TEAM_MEMBERS_NO_TEAM,Not in Club Team
TID_CLUB_LEAGUE_TEAM_MEMBERS_PARTIAL,<NUM>/<MAX> Club members in Team
TID_CLUB_LEAGUE_TEAM_MEMBERS_CLUB,In a Club Team
TID_CLUB_LEAGUE_TEAM_MEMBERS_FULL,Full Club Team
TID_CLUB_LEAGUE_TROPHY_REWARD_PER_WIN,<NUM><cFFFFFF>/Win</c>
TID_CLUB_LEAGUE_WARNING_NOT_IN_LEAGUE,Club is not in a League
TID_CLUB_LEAGUE_WARNING_WAITING_LEAGUE,Awaiting League start
TID_CLUB_LEAGUE_WARNING_NOT_ENOUGH_TICKETS,Not enough tickets
TID_CLUB_LEAGUE_WARNING_MORE_TICKETS_NEEDED,<NUM> more tickets needed
TID_CLUB_LEAGUE_WARNING_MORE_TICKETS_NEEDED_SINGLE,<NUM> more ticket needed
TID_CLUB_LEAGUE_WARNING_NOT_ENOUGH_TICKETS_FLOATER,Not enough tickets to play!
TID_BATTLE_END_CLUB_LEAGUE_TEAM_BONUS,TEAM BONUS
TID_EVENT_NAME_CLUB_LEAGUE_COMPETITIVE,POWER MATCH
TID_EVENT_LOCATION_CLUB_LEAGUE_COMPETITIVE_DESC,Best of 3
TID_CLUB_LEAGUE_BRONZE_I,BRONZE I
TID_CLUB_LEAGUE_BRONZE_II,BRONZE II
TID_CLUB_LEAGUE_BRONZE_III,BRONZE III
TID_CLUB_LEAGUE_SILVER_I,SILVER I
TID_CLUB_LEAGUE_SILVER_II,SILVER II
TID_CLUB_LEAGUE_SILVER_III,SILVER III
TID_CLUB_LEAGUE_GOLD_I,GOLD I
TID_CLUB_LEAGUE_GOLD_II,GOLD II
TID_CLUB_LEAGUE_GOLD_III,GOLD III
TID_CLUB_LEAGUE_DIAMOND_I,DIAMOND I
TID_CLUB_LEAGUE_DIAMOND_II,DIAMOND II
TID_CLUB_LEAGUE_DIAMOND_III,DIAMOND III
TID_CLUB_LEAGUE_MYTHIC_I,MYTHIC I
TID_CLUB_LEAGUE_MYTHIC_II,MYTHIC II
TID_CLUB_LEAGUE_MYTHIC_III,MYTHIC III
TID_CLUB_LEAGUE_LEGENDARY_I,LEGENDARY I
TID_CLUB_LEAGUE_LEGENDARY_II,LEGENDARY II
TID_CLUB_LEAGUE_LEGENDARY_III,LEGENDARY III
TID_CLUB_LEAGUE_MASTERS,MASTERS
TID_CLUB_LEAGUE_TIER_1,I
TID_CLUB_LEAGUE_TIER_2,II
TID_CLUB_LEAGUE_TIER_3,III
TID_CLUB_LEAGUE_SEASON_PROGRESS,SEASON PROGRESS
TID_CLUB_LEAGUE_SEASON_ENDS_IN,Ends in:
TID_CLUB_LEAGUE_WAITING_FINAL_RESULTS,Waiting for final results
TID_CLUB_LEAGUE_WAITING_FINAL_SEASON_RESULTS,Waiting for Season results
TID_CLUB_LEAGUE_WAITING_FINAL_SEASON_RESULTS_DESC,Season results are being processed. Come back later for final results!
TID_CLUB_LEAGUE_RESULTS_TITLE,Results:
TID_CLUB_LEAGUE_SEASON_OVER,SEASON OVER!
TID_CLUB_LEAGUE_SEASON_OVER_2,SEASON OVER
TID_CLUB_LEAGUE_MAX_TROPHIES_AVAILABLE,Max trophies available
TID_CLUB_LEAGUE_SEASON_PROGRESS_TITLE,SEASON PROGRESS
TID_CLUB_LEAGUE_SEASON_RESULTS_TITLE,SEASON RESULTS
TID_CLUB_LEAGUE_ITEM_PROMOTING,PROMOTING
TID_CLUB_LEAGUE_ITEM_PROMOTING_MULTIPLE,PROMOTING X<NUM>
TID_CLUB_LEAGUE_ITEM_DEMOTING,DEMOTING
TID_CLUB_LEAGUE_ITEM_DEMOTING_MULTIPLE,DEMOTING X<NUM>
TID_CLUB_LEAGUE_COLUMN_CLUB_NAME,CLUB NAME
TID_CLUB_LEAGUE_COLUMN_DAILY_RANKS,DAILY RANKS
TID_CLUB_LEAGUE_COLUMN_TOTAL_POINTS,TOTAL POINTS
TID_CLUB_LEAGUE_COLUMN_MAX_REWARD,MAX REWARD
TID_CLUB_LEAGUE_SHOP_DESC,Boost your progress & buy exclusive skins!
TID_CLUB_LEAGUE_SHOP_BUTTON_DESC,BOOST YOUR PROGRESS & BUY EXCLUSIVE SKINS:
TID_CLUB_LEAGUE_BUTTON_VISIT_CLUB_SHOP,VISIT CLUB SHOP
TID_CLUB_LEAGUE_SEASON_END_REWARD_DESC,YOUR END OF SEASON REWARD
TID_CLUB_LEAGUE_SEASON_END_REWARD_CLAIMED,CLAIMED
TID_CLUB_LEAGUE_NOT_YET_RANKED,ЩЕ НЕ РАНГОВАНО
TID_CLUB_LEAGUE_SEASON_REGISTRATION_CLOSED,SEASON REGISTRATION CLOSED
TID_CLUB_LEAGUE_SPECTATE_THIS_SEASON,SPECTATE THIS SEASON
TID_CLUB_LEAGUE_WAIT_NEXT_SEASON,Wait for the next season to play!
TID_CLUB_LEAGUE_NEXT_SEASONS_EVENTS,Next season's events:
TID_CLUB_LEAGUE_NEXT_SEASON_STARTS_TIME,Next season starts in <TIME>
TID_CLUB_LEAGUE_SEASON_TICKETS_REWARD_DESC,Play all Tickets in a season to receive your individual max reward!
TID_CLUB_LEAGUE_SEASON_TICKETS_PLAYED_TITLE,TICKETS PLAYED:
TID_CLUB_LEAGUE_SEASON_TICKETS_PLAYED,<NUM>/<MAX>
TID_CLUB_LEAGUE_SEASON_CLUB_COIN_REWARD,<NUM>/<MAX>
TID_CLUB_LEAGUE_BUY,BUY
TID_CLUB_LEAGUE_BUY_OR,or
TID_CLUB_LEAGUE_NOT_ENOUGH_TICKETS,NOT ENOUGH TICKETS
TID_CLUB_LEAGUE_NEED_MORE_GOLDEN_TICKETS,You need <NUM> more Golden Tickets to play!
TID_CLUB_LEAGUE_NOT_ENOUGH_GOLDEN_TICKETS_AVAILABLE_TO_PURCHASE,Not enough Golden Tickets available to purchase
TID_CLUB_LEAGUE_FEATURE_UNAVAILABLE,This feature is currently unavailable
TID_CLUB_LEAGUE_NOT_IN_LEAGUE,Club is not currently in league
TID_CLUB_LEAGUE_NO_CURRENT_LEAGUE_SEASON,Club is not in current league season!
TID_DUPLICATOR,ЛОЛА
TID_DUPLICATOR_SHORT_DESC,ВОЇН
TID_DUPLICATOR_DESC,"Part guide and part actress and full diva, Lola is THE leading lady of Brawlywood.\n\nShe attacks with her scarf and her Super is a channeled manifestation of her Ego."
TID_DUPLICATOR_WEAPON,DIAMOND EYES
TID_DUPLICATOR_WEAPON_DESC,Lola's favorite accessory is also her favorite weapon! It shoots from the eyes in short bursts and with plenty of panache.
TID_DUPLICATOR_ULTI,MEGALOMANIAC
TID_DUPLICATOR_ULTI_DESC,"Lola releases her Ego that mimics her every move. If it's too close to Lola though, it will deal less damage."
TID_SPEC_ABI_DUPLICATOR_1,IMPROVISE
TID_SPEC_ABI_DUPLICATOR_1_DESC,"When down to her last round, Lola deals an extra <c00cc00><VALUE2>%</c> damage."
TID_SPEC_ABI_DUPLICATOR_2,SEALED WITH A KISS
TID_SPEC_ABI_DUPLICATOR_2_DESC,Projectiles from Lola's Ego will heal allies that are caught in its path by <c00cc00><VALUE1></c> health.
TID_ACCESSORY_DUPLICATOR_GADGET,FREEZE FRAME
TID_ACCESSORY_DUPLICATOR_GADGET_DESC,Lola's Ego stops moving to strike a pose! Gaining a <c00cc00><VALUE1>%</c> shield for <c00cc00><VALUE2></c> seconds.
TID_CLUB_UNLOCK_TITLE_CLUBS,CLUBS
TID_CLUB_UNLOCK_TITLE_UNLOCKED,Unlocked!
TID_CLUB_UNLOCK_SEARCHING_FOR_CLUB,Searching for the best Club for you...
TID_CLUB_UNLOCK_CLUB_LEAGUE_TITLE,КЛУБОВА ЛІГА
TID_CLUB_UNLOCK_JOIN_NEXT_SEASON,Join next season to win exclusive rewards!
TID_CLUB_UNLOCK_CLUB_FOUND,CLUB FOUND!
TID_CLUB_UNLOCK_WELCOME_TO_CLUB,WELCOME TO THE CLUB!
TID_CLUB_UNLOCK_LETS_GO,LET'S GO
TID_CLUB_UNLOCK_REQUIRED_TROPHIES,REQUIRED TROPHIES
TID_CLUB_UNLOCK_INFO_TITLE,You are now a member of:
TID_CLUB_UNLOCK_FOUND_DESC,"We think this Club is perfect for you! You can always leave and search for another. Alternatively, you can also start one of your own!"
TID_CLUB_UNLOCK_FOUND_CLUB_DESC,Welcome to your new Club! Battle together with Club mates and reach the top of the Leagues!
TID_CLUB_UNLOCK_STAT_TAG,Club Tag
TID_CLUB_UNLOCK_STAT_TYPE,Type
TID_SHOP_BRAWLOWEEN_TITLE,BRAWL-O-WEEN
TID_SHOP_BRAWLOWEEN_INFO,Skin set
TID_SKIN_INFO_BRAWLOWEEN,Brawl-o-ween skins
TID_CLUB_LEAGUE_FLOW_NEW_SEASON,New Season!
TID_CLUB_LEAGUE_FLOW_SEASON_ENDED,Season has ended
TID_CLUB_LEAGUE_FLOW_CLUB_LEAGUE,КЛУБОВА ЛІГА
TID_CLUB_LEAGUE_FLOW_DAY_NEW,NEW!
TID_CLUB_LEAGUE_FLOW_EVENT_DAY_STARTED,EVENT DAY <NUM> STARTED!
TID_CLUB_LEAGUE_FLOW_EVENT_DAY_ENDED,EVENT DAY <NUM> ENDED!
TID_CLUB_LEAGUE_FLOW_BUTTON_GO,ACCEPT
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_SEASON_START,LET'S GO
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_SEASON_END,ACCEPT
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_DAY_START,LET'S GO
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_DAY_END,ACCEPT
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_LEAGUE_PROMOTION,ACCEPT
TID_CLUB_LEAGUE_FLOW_SEASON_RANK,Season Rank
TID_CLUB_LEAGUE_FLOW_END_OF_SEASON_REWARD,YOUR SEASON END REWARD
TID_CLUB_LEAGUE_FLOW_TICKETS_PLAYED_TITLE,Tickets played
TID_CLUB_LEAGUE_FLOW_TICKETS_PLAYED,<NUM><cA4B7E0>/<MAX></c>
TID_CLUB_LEAGUE_FLOW_CLUB_COIN_REWARD,<NUM>/<MAX>
TID_CLUB_LEAGUE_FLOW_PROMOTED,PROMOTED
TID_CLUB_LEAGUE_FLOW_TICKET_REFILL,Refill!
TID_CLUB_LEAGUE_TICKET_REFILL_BUBBLE,Refills next Event Day
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_1,Purchase failed
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_NOT_ENOUGH_COINS,Not enough coins!
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_NOT_ENOUGH_GEMS,Not enough gems!
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_3,No tickets available for purchase!
TID_CLUB_LEAGUE_SEASON_ENDS_IN_TIME,Season ends in <TIME>
TID_CLUB_LEAGUE_TICKET_SHOP_TITLE,GOLDEN TICKETS
TID_CLUB_LEAGUE_TICKET_SHOP_INFO,You can play up to <cFEA305><NUM> Golden Tickets</c> during a Club League season. Use them to play extra matches and earn more Club Trophies. Golden Tickets can improve your Club's daily rank for the Event Day they're used.\n\nAny Golden Tickets remaining at season end will be automatically transferred to the next season.\n\nGolden Tickets are not considered when calculating season end rewards.
TID_CLUB_LEAGUE_TICKETS_GET_MORE,Get more...
TID_CLUB_LEAGUE_TICKETS_GET_MORE_ONE,Get one more Golden Ticket!
TID_CLUB_LEAGUE_TICKETS_GET_MORE_UP_TO_NUM,Get up to <NUM> more Golden Tickets!
TID_CLUB_LEAGUE_TICKETS_NO_MORE_TICKETS,No more Golden Tickets available to purchase
TID_CLUB_LEAGUE_TICKETS_OWNED,You have: <NUM>
TID_CLUB_LEAGUE_TICKETS_PLAYED,<NUM>/<MAX> played
TID_CLUB_LEAGUE_YOUR_GOLDEN_TICKETS_THIS_SEASON,Your Golden Tickets this season:
TID_CLUB_LEAGUE_GOLDEN_TICKET_PACK,GOLDEN TICKET PACK
TID_CLUB_LEAGUE_GOLDEN_TICKET,GOLDEN TICKET
TID_CLUB_LEAGUE_TICKET_OUT_OF_STOCK,Out of stock
TID_CLUB_LEAGUE_TICKET_NOT_ENOUGH_SPACE,Not enough space
TID_CLUB_LEAGUE_GOLDEN_TICKETS_NOT_AVAILABLE,Ticket purchases are currently unavailable
TID_CLUB_LEAGUE_GOLDEN_TICKET_TUTORIAL,"Looks like you need more tickets to continue playing Club League!\n\nYou can purchase and play up to <NUM> <cFEA305>Golden Tickets</c> per season! When used tactically, Golden Tickets can improve your Club's daily rank for the Event Day they're used."
TID_CLUB_LEAGUE_EVENT_SCHEDULE_BUTTON,EVENT DAYS
TID_CLUB_LEAGUE_EVENT_DAYS_TITLE,EVENT DAYS
TID_CLUB_LEAGUE_EVENT_SCHEDULE_DAY_TITLE,EVENT DAY <NUM>
TID_CLUB_LEAGUE_EVENTS_TITLE,EVENTS
TID_CLUB_LEAGUE_EVENT_UNLOCKS_AT,Unlocks at
TID_CLUB_LEAGUE_SHOW_TICKETS_TOGGLE,Show <cFFDA14>max</c> Club trophies available to collect
TID_CLUB_LEAGUE_INFO_TITLE,CLUB LEAGUE INFO
TID_CLUB_LEAGUE_INFO_PAGE_1_MARKER,Seasons & Event Days
