TID,DE
TID_HOLDTROPHY_08,Трофейну Вторгнення
TID_HOLDTROPHY_09,Контрабандисти
TID_HOLDTROPHY_10,Кручений План
TID_HOLDTROPHY_11,Бокова труба
TID_TROPHYTHIEVES_01,Пряма Ракетка
TID_TROPHYTHIEVES_02,Легкі гроші
TID_TROPHYTHIEVES_03,Бічні двері
TID_TROPHYTHIEVES_04,Оушен Шість
TID_TROPHYTHIEVES_05,Вкрадена доблесть
TID_TROPHYTHIEVES_06,Обв'язаний мотузкою
TID_TROPHYTHIEVES_07,смітити грошима
TID_TROPHYTHIEVES_08,Глибокий Кінець
TID_TROPHYTHIEVES_09,"Вітаю, ви виграли <CHALLENGE>! Ваш виклик перемога нагорода: <НАГОРОДА>"
TID_TROPHYTHIEVES_10,Ваша нагорода за перемогу #<WIN> в <CHALLENGE>: <REWARD>
TID_TROPHYTHIEVES_11,"<ДЗВІНОК> наближається!\n\nWin <ВИГРАЙТЕ> матчі і отримаєте свою нагороду <REWARD>! Об'єднуйтеся з друзями або шукайте КОМАНДУ, щоб максимізувати свої шанси на перемогу.Виклик буде активною лише протягом <DURATION> годин. Удачі і отримуйте задоволення!"
TID_TROPHYTHIEVES_12,"Переможете виклик, щоб отримати: <НАГОРОДА>!"
TID_TROPHYTHIEVES_13,Бризковики
TID_TROPHYTHIEVES_14,Сонцезахисний крем
TID_KO_JUNE21_1,Безпека понад усе
TID_KO_JUNE21_2,Надутий
TID_QUALIFIED_INFO_PARAM,Дуель з водяного пістолета
TID_CHALLENGE_WIN_REWARD_POPUP_TEXT,Дитячий басейн
TID_CHALLENGE_TEASER_INFO_PARAM,Глибоке Занурення
TID_CC_POPUP_QUALIFY_INFO_PARAM,Трамплін Перетасовування
TID_GEN_JUNE21_1,Олімпійський розмір
TID_GEN_JUNE21_2,Небезпека для води
TID_GEN_JUNE21_3,СПЛЕСК ЮРСЬКОГО ПЕРІОДУ
TID_GEN_JUNE21_4,ДОСТУПНО ПРЯМО ЗАРАЗ!
TID_GEN_JUNE21_5,Китай 1-річний Ювілей
TID_GEN_JUNE21_6,Команди
TID_GEN_JUNE21_7,ДРУЖНІ БОЇ
TID_GEN_JUNE21_8,"ГРАВЦІ, ЩО НЕ ВХОДЯТЬ В КОМАНДУ (<NUM>)"
TID_GEN_JUNE21_9,ВАША КОМАНДА
TID_GEN_JUNE21_10,ВАША КОМАНДА!
TID_BRAWL_PASS_SEASON_6,<ІМ'Я> (ВИ)
TID_SHOP_SKIN_AVAILABLE,Створіть команду і грайте зі своїми друзями або одноклубниками!
TID_SKIN_INFO_CAMPAIGN_C1A,ОБ'ЄДНУЙТЕСЯ
TID_ONLINE_TEAMS,ОБ'ЄДНУЙТЕСЯ!
TID_ONLINE_FRIENDLY_TEAMS,"Розділіть славу і почесті бійки, вступивши в Клуб або створивши свій власний!"
TID_ONLINE_CL_TEAMS,Вперед
TID_ONLINE_PLAYERS,Команда
TID_ONLINE_YOUR_TEAM,Клуб
TID_ONLINE_YOUR_TEAM_ITEM,В мережі:
TID_ONLINE_YOUR_NAME,<NUM>/<MAX>
TID_CHAT_TEAM_UP_DESCRIPTION,Командний код
TID_CHAT_TEAM_UP_BTN,Шукаємо Команду
TID_CHAT_STREAM_TEAM_UP_BTN,Шукаю гравців
TID_CHAT_CLUB_PROMO_DESC,СПРАВЖНЄ СРІБЛО БО
TID_CHAT_CLUB_PROMO_BTN,СПРАВЖНЄ СРІБЛО
TID_CHAT_TAB_TEAM,СПРАВЖНІЙ ШТОРМ СРІБНИЙ
TID_CHAT_TAB_CLUB,СПРАВЖНЄ СРІБЛО\nGALE
TID_CHAT_TAB_CLUB_ONLINE_TITLE,СПРАВЖНЄ СРІБЛО НАНІ
TID_CHAT_TAB_CLUB_ONLINE_COUNT,СПРАВЖНЄ СРІБЛО\nNANI
TID_CHAT_TAB_TEAM_CODE_TITLE,СПРАВЖНІЙ ПІСОК СРІБЛЯСТИЙ
TID_TEAMS_LOOKING_FOR_TEAM,СПРАВЖНЄ СРІБЛО\nSANDY
TID_TEAMS_LOOKING_FOR_PLAYERS,СПРАВЖНЄ ЗОЛОТО БО
TID_TRUE_SILVER_BO_SKIN,СПРАВЖНЄ ЗОЛОТО
TID_TRUE_SILVER_BO_SKIN_SHOP,СПРАВЖНІЙ ЗОЛОТИЙ ШТОРМ
TID_TRUE_SILVER_GALE_SKIN,СПРАВЖНЄ ЗОЛОТО\nGALE
TID_TRUE_SILVER_GALE_SKIN_SHOP,СПРАВЖНЄ ЗОЛОТО НАНІ
TID_TRUE_SILVER_NANI_SKIN,СПРАВЖНЄ ЗОЛОТО\nNANI
TID_TRUE_SILVER_NANI_SKIN_SHOP,СПРАВЖНЄ ЗОЛОТО ПІЩАНЕ
TID_TRUE_SILVER_SANDY_SKIN,СПРАВЖНЄ ЗОЛОТО\nSANDY
TID_TRUE_SILVER_SANDY_SKIN_SHOP,ЗОЛА НІНДЗЯ
TID_TRUE_GOLD_BO_SKIN,НІНДЗЯ\Неш
TID_TRUE_GOLD_BO_SKIN_SHOP,ЧАРІВНИК БАЙРОН
TID_TRUE_GOLD_GALE_SKIN,МАЙСТЕР\nBYRON
TID_TRUE_GOLD_GALE_SKIN_SHOP,ПРИНЦЕСА ШЕЛЛІ
TID_TRUE_GOLD_NANI_SKIN,ПРИНЦЕСА\nSHELLY
TID_TRUE_GOLD_NANI_SKIN_SHOP,ЛИЦАР ЄДИНОРОГА ЯЧМІНЬ
TID_TRUE_GOLD_SANDY_SKIN,ЛИЦАР ЄДИНОРОГА\nBARLEY
TID_TRUE_GOLD_SANDY_SKIN_SHOP,ЗЛА КОРОЛЕВА ПЕМ
TID_NINJA_ASH_SKIN,ЗЛА КОРОЛЕВА\nPAM
TID_NINJA_ASH_SKIN_SHOP,ОДНОГО РАЗУ СТАЛАСЯ БІЙКА
TID_WIZARD_BYRON_SKIN,СМАРАГДОВИЙ ПРИНЦ РОСТОК
TID_WIZARD_BYRON_SKIN_SHOP,СМАРАГДОВИЙ ПРИНЦ\nSPROUT
TID_PRINCESS_SHELLY_SKIN,РУБІНОВИЙ ПРИНЦ РОСТОК
TID_PRINCESS_SHELLY_SKIN_SHOP,РУБІНОВИЙ ПРИНЦ\nSPROUT
TID_UNICORN_KNIGHT_BARLEY_SKIN,EL DRAGÓN VERDOSO
TID_UNICORN_KNIGHT_BARLEY_SKIN_SHOP,EL DRAGÓN\nVERDOSO
TID_EVIL_QUEEN_PAM_SKIN,EL DRAGÓN ROSADO
TID_EVIL_QUEEN_PAM_SKIN_SHOP,EL DRAGÓN\nROSADO
TID_BRAWL_PASS_SEASON_7,СПРАВЖНЯ СРІБНА БЕА
TID_EMERALD_PRINCE_SPROUT_SKIN,СПРАВЖНЄ ЗОЛОТО БЕА
TID_EMERALD_PRINCE_SPROUT_SKIN_SHOP,СПРАВЖНЄ СРІБЛО\nBEA
TID_RUBY_PRINCE_SPROUT_SKIN,СПРАВЖНЄ ЗОЛОТО\nBEA
TID_RUBY_PRINCE_SPROUT_SKIN_SHOP,МІСЯЧНИЙ ВОЛИНЩИК
TID_EL_DRAGON_VERDE_SKIN,МІСЯЧНИЙ\nPIPER
TID_EL_DRAGON_VERDE_SKIN_SHOP,ГАРНИЙ ЛОША
TID_EL_DRAGON_ROSADO_SKIN,КРАСУНЧИК\nCOLT
TID_EL_DRAGON_ROSADO_SKIN_SHOP,. . .
TID_TRUE_SILVER_BEA_SKIN,"Командний чат закріплений, щоб залишатися відкритим"
TID_TRUE_GOLD_BEA_SKIN,Командний чат открепился
TID_TRUE_SILVER_BEA_SKIN_SHOP,"Немає гравців онлайн, щоб запросити, спробуйте ще раз пізніше!"
TID_TRUE_GOLD_BEA_SKIN_SHOP,До
TID_LUNAR_PIPER_SKIN,Не можу запросити. У вас є очікує запит на приєднання
TID_LUNAR_PIPER_SKIN_SHOP,Не можу запросити. Ваша команда сповнена
TID_HANDSOME_COLT_SKIN,Неможливо вибрати подію. Подія доступно не всім членам команди.
TID_HANDSOME_COLT_SKIN_SHOP,"Приготуйтеся до битви на арені Showdown! Перемагає останній Забіяка, все ще стоїть в кінці.Зберіть кубики сили, щоб збільшити своє здоров'я і збитки від атаки. Отруйні хмари наближаються, так що продовжуй рухатися!"
TID_CHAT_BUBBLE_ELLIPSIS,<NUM>x<VALUE>
TID_TEAM_CHAT_PINNED,"Brawl Stars встановлений неправильно. Будь ласка, перевстановіть з магазину Google Play, щоб виправити цю проблему."
TID_TEAM_CHAT_UNPINNED,Спочатку введіть текст для пошуку!
TID_TEAMS_NO_PLAYERS_ONLINE,Запросіть інших гравців у свою команду зі списку нижче
TID_BP_VALUE_UPTO,ЗАПРОСИТИ ГРАВЦІВ
TID_TEAM_REQEST_INVITE_FAIL_PENDING_JOIN_REQUEST,Скін недоступний в даний час
TID_TEAM_REQUEST_INVITE_FAIL_TEAM_FULL,"Неможливо змінити цей параметр, поки включений пошук команди!"
TID_TEAM_ERROR_126,"Неможливо змінити цей параметр, поки ви включили Пошук гравців!"
TID_GAME_MODE_6_SOLO_ONLY_DESC,"Неможливо змінити цей параметр, перебуваючи в команді!"
TID_VALUE_TAG,Шукаємо Команду
TID_INVALID_PLAY_INSTALL,Шукаю гравців
TID_CLAN_SEARCH_EMPTY,Шукаємо Команду:
TID_TEAMS_INVITE_PLAYERS,Шукаю гравців:
TID_OWN_TEAM_INVITE,1）本游戏是一款多人实时对战类游戏，适用于年满12周岁及以上的用户，\n建议未成年人在家长监护下使用游戏产品。\n\n2）游戏无明显背景，需要玩家操作各种英雄与队友配合取得胜利，\n游戏有丰富多样的玩法，包含角色养成、竞技等，需要投入一定的时间和精力。\n游戏中存在基于文字的陌生人社交系统，且社交系统的管理遵循相关法律法规。\n\n3）根据国家相关要求，游戏中有用户实名认证系统，未通过实名认证的用户不可进入游戏；\n认证为未成年人的用户除周五、周六、周日及法定节假日每日20时至21时外其他时间均不可进入游戏。游戏中部分玩法和道具需要付费。根据腾讯健康系统管理规定，认证为未成年人的用户将接受以下管理：未满12周岁的用户不能付费；12周岁以上未满16周岁的未成年人用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。\n\n4）游戏以竞技为主题，画面精美，玩法多样，能够带给玩家轻松愉悦的游戏氛围，\n游戏中的排位赛有助于调动玩家的积极情绪，在比赛中获胜能够提升玩家的自信心。\n游戏提供了丰富的社交系统，包括战队、好友等，玩家之间可以互相交流，互相配合，\n共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。
TID_SKIN_NOT_AVAILABLE,1）本游戏是一款多人实时对战类游戏，适用于年满12周岁及以上的用户，\n建议未成年人在家长监护下使用游戏产品。\n\n2）游戏无明显背景，需要玩家操作各种英雄与队友配合取得胜利，\n游戏有丰富多样的玩法，包含角色养成、竞技等，需要投入一定的时间和精力。\n游戏中存在基于文字的陌生人社交系统，且社交系统的管理遵循相关法律法规。\n\n3）本游戏中有用户实名认证系统，认证为未成年人的用户将接受以下管理：\n游戏中部分玩法和道具需要付费。未满8周岁的用户不能付费：8周岁以上未满16周岁的未成年人用户，单次充值不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。未成年人仅可在周五、周六、周日和法定节假日每日20时至21时体检1小时网络游戏服务。\n\n4）游戏以竞技为主题，画面精美，玩法多样，能够带给玩家轻松愉悦的游戏氛围，\n游戏中的排位赛有助于调动玩家的积极情绪，在比赛中获胜能够提升玩家的自信心。\n游戏提供了丰富的社交系统，包括战队、好友等，玩家之间可以互相交流，互相配合，\n共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。
TID_DND_DISABLED_LOOKING_FOR_TEAM,ШПИЛЬКИ RETROPOLIS
TID_DND_DISABLED_LOOKING_FOR_PLAYERS,Ретрополис
TID_LFT_DISABLED_LOOKING_FOR_TEAM,Повернення в Ретрополис
TID_ONLINE_LOOKING_FOR_A_TEAM,Набір шкіри
TID_ONLINE_LOOKING_FOR_PLAYERS,Володійте усіма скінами в цьому наборі і отримаєте ексклюзивний пін - пакет!
TID_ONLINE_LOOKING_FOR_A_TEAM_SETTING,ВИПАДКОВИЙ СКІН
TID_ONLINE_LOOKING_FOR_PLAYERS_SETTING,Brawl Pass ексклюзивний Скін
TID_CHINA_LOGIN_AA_POPUP_DESC_TENCENT,Виграйте шкуру від виклику
TID_CHINA_LOGIN_AA_POPUP_DESC_YOOZOO,"Дістаньтеся до трофеїв <NUM>, щоб розблокувати виклики"
TID_EMOTE_BUNDLE_RETRO_PACK,Обрана одна шкіра
TID_SKIN_INFO_CAMPAIGN_RETRO,Тепер скін вибирається випадковим чином з усіх вибраних
TID_SKIN_INFO_CAMPAIGN_RETRO_TITLE,ЖЕТОНИ ПЕРЕДАЧ
TID_RETRO_SKINS_INFO,Жетони шкоди
TID_EMOTE_SKINS_PACK_REWARD,Жетони зцілення
TID_RANDOM_SKIN_SWITCH_TITLE,Жетони Опору
TID_SKIN_GROUP_POPUP_BP,Жетони Щита
TID_SKIN_GROUP_POPUP_CHALLENGE,Токени швидкості
TID_SKIN_GROUP_POPUP_CHALLENGE_LOCKED,Збиток
TID_SKIN_SELECTOR_RANDOM_MODE_DISABLED,Здоров'я
TID_SKIN_SELECTOR_RANDOM_MODE_ENABLED,ОПІР
TID_GEAR_TOKEN_DROP_TITLE,ЩИТ
TID_GEAR_TOKEN_DAMAGE,Швидкість
TID_GEAR_TOKEN_HEAL,Шестерний Жетон
TID_GEAR_TOKEN_RESISTANCE,БРУХТ
TID_GEAR_TOKEN_SHIELD,Брухт
TID_GEAR_TOKEN_SPEED,РОЗБЛОКУВАТИ СЛОТ ШЕСТЕРНІ <NUM>
TID_GEAR_TOKEN_TYPE_DAMAGE,Craft <NAME> Level <NUM>?
TID_GEAR_TOKEN_TYPE_HEAL,Оновити <NAME> до рівня <NUM>?
TID_GEAR_TOKEN_TYPE_RESISTANCE,РЕМЕСЛО
TID_GEAR_TOKEN_TYPE_SHIELD,Оновлення
TID_GEAR_TOKEN_TYPE_SPEED,Швидкість
TID_GEAR_TOKEN,Здоров'я
TID_GEAR_SCRAP_DROP_TITLE,Збиток
TID_GEAR_SCRAP,ОПІР
TID_GEAR_UNLOCK_SLOT,ЩИТ
TID_GEAR_CRAFT_TITLE,Отримайте ЗБІЛЬШЕННЯ ШВИДКОСТІ при русі в кущах на <NUM>%.
TID_GEAR_UPGRADE_TITLE,ВІДНОВЛЮЙТЕ ЗДОРОВ'Я <NUM> на% швидше.
TID_GEAR_CRAFT_BUTTON,"Завдає <NUM>% ДОДАТКОВОГО УТРАТИ, коли здоров'я нижче 50%."
TID_GEAR_UPGRADE_BUTTON,ЗМЕНШТЕ тривалість ефекту ОГЛУШЕННЯ і ЗМЕНШІТЬ ПОВІЛЬНУ ефективність на <NUM>%.
TID_GEAR_FOREST_SPEED_TITLE,Отримайте додаткову ЗДОРОВ'Я <NUM> в якості витрачається ЩИТА. Щит відновлюється за 10 секунд при повному здоров'ї.
TID_GEAR_STANDING_HEAL_TITLE,ЗБІЛЬШЕННЯ ШВИДКОСТІ руху куща
TID_GEAR_LOW_HEALTH_DAMAGE_TITLE,ВІДНОВЛЮЙТЕ ЗДОРОВ'Я в нерухомому стані
TID_GEAR_SLOW_RESISTANCE_TITLE,Додатковий ВТРАТ при здоров'я нижче 50%
TID_GEAR_SHIELD_TITLE,Зменшує тривалість оглушающих ефектів і знижує ефективність ПОВІЛЬНУ
TID_GEAR_FOREST_SPEED_INFO,"Отримайте ЩИТ, який збільшує ЗДОРОВ'Я"
TID_GEAR_STANDING_HEAL_INFO,ШВИДКІСТЬ ЗБІЛЬШЕНА
TID_GEAR_LOW_HEALTH_DAMAGE_INFO,ЗДОРОВ'Я ВІДНОВЛЕНО
TID_GEAR_SLOW_RESISTANCE_INFO,ДОДАТКОВИЙ ШКОДИ
TID_GEAR_SHIELD_INFO,ОПІР
TID_GEAR_FOREST_SPEED_UPGRADE_INFO,ЗДОРОВ'Я ЩИТА
TID_GEAR_STANDING_HEAL_UPGRADE_INFO,ЕКІПІРОВКА МОДЕРНІЗОВАНА!
TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_INFO,ШЕСТЕРНЯ
TID_GEAR_SLOW_RESISTANCE_UPGRADE_INFO,<ІМ'Я> РІВЕНЬ <NUM>
TID_GEAR_SHIELD_UPGRADE_INFO,РІВЕНЬ <NUM>
TID_GEAR_FOREST_SPEED_UPGRADE_TARGET,Не вистачає зубчастого брухту!
TID_GEAR_STANDING_HEAL_UPGRADE_TARGET,Не вистачає жетонів Спорядження!
TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_TARGET,"Ви повинні оновити свій Brawler до рівня <NUM>, щоб розблокувати шестерні"
TID_GEAR_SLOW_RESISTANCE_UPGRADE_TARGET,"Ви повинні оновити свій Brawler до рівня <NUM>, щоб розблокувати це спорядження"
TID_GEAR_SHIELD_UPGRADE_TARGET,Це обладнання вже на МАКСИМАЛЬНОМУ РІВНІ!
TID_GEAR_UPGRADED,<NUM>%
TID_GEAR_TITLE,<OLDNUM> <c00ff00>+<NUM></c>
TID_GEAR_NAME_LEVEL_TITLE,<OLDNUM>% <c00ff00 > +<NUM>%</c>
TID_GEAR_LEVEL_TITLE,Шестерня: <cde9700><ІМ'Я></c>\n<DESC>
TID_GEAR_NOT_ENOUGH_GEAR_SCRAP,Товари
TID_GEAR_NOT_ENOUGH_GEAR_TOKENS,ОСОБИСТІ НАЛАШТУВАННЯ
TID_GEAR_LOCKED,СПРАВЖНІЙ СРІБНИЙ БРОК
TID_GEAR_LOCKED_2,СПРАВЖНІЙ ЗОЛОТИЙ БРОК
TID_GEAR_UPGRADE_MAXED_OUT,СПРАВЖНЄ СРІБЛО\nBROCK
TID_GEAR_VALUE_PERCENT,СПРАВЖНЄ ЗОЛОТО\nBROCK
TID_GEAR_UPGRADE_VALUE,СПРАВЖНЄ СРІБЛО ПОКО
TID_GEAR_UPGRADE_VALUE_PERCENT,СПРАВЖНЄ ЗОЛОТО ПОКО
TID_GEAR_INFO,СПРАВЖНЄ СРІБЛО\NPoco
TID_ITEMS_TITLE,СПРАВЖНЄ ЗОЛОТО\NPoco
TID_TEAMUP_YOUR_SETTINGS_TITLE,СПРАВЖНЄ СРІБЛО МАКС
TID_TRUE_SILVER_BROCK_SKIN,СПРАВЖНЄ ЗОЛОТО МАКС
TID_TRUE_GOLD_BROCK_SKIN,СПРАВЖНЄ СРІБЛО\nMAX
TID_TRUE_SILVER_BROCK_SKIN_SHOP,СПРАВЖНЄ ЗОЛОТО\nMAX
TID_TRUE_GOLD_BROCK_SKIN_SHOP,СПРАВЖНЄ СРІБЛО ПЕМ
TID_TRUE_SILVER_POCO_SKIN,СПРАВЖНЄ ЗОЛОТО ПЕМ
TID_TRUE_GOLD_POCO_SKIN,TRUE SILVER\n8-БІТ
TID_TRUE_SILVER_POCO_SKIN_SHOP,СПРАВЖНЄ ЗОЛОТО\n8-БІТ
TID_TRUE_GOLD_POCO_SKIN_SHOP,СПРАВЖНЄ СРІБЛО 8-БІТОВЕ
TID_TRUE_SILVER_MAX_SKIN,СПРАВЖНЄ ЗОЛОТО 8-БІТ
TID_TRUE_GOLD_MAX_SKIN,СПРАВЖНЄ СРІБЛО\nPAM
TID_TRUE_SILVER_MAX_SKIN_SHOP,СПРАВЖНЄ ЗОЛОТО\nPAM
TID_TRUE_GOLD_MAX_SKIN_SHOP,ГЛАДІАТОР КОЛЕТТ
TID_TRUE_SILVER_PAM_SKIN,ГЛАДІАТОР
TID_TRUE_GOLD_PAM_SKIN,V8-БІТ
TID_TRUE_SILVER_8-BIT_SKIN_SHOP,V8-БІТ
TID_TRUE_GOLD_8-BIT_SKIN_SHOP,Команда шукає гравців:
TID_TRUE_SILVER_8-BIT_SKIN,Я шукаю команду:
TID_TRUE_GOLD_8-BIT_SKIN,<ІМ'Я> хоче об'єднатися з вами!
TID_TRUE_SILVER_PAM_SKIN_SHOP,Вас запросили приєднатися до турнірного матчу!
TID_TRUE_GOLD_PAM_SKIN_SHOP,Висохла річка
TID_GLADIATOR_COLETTE_SKIN,Руїни
TID_GLADIATOR_COLETTE_SKIN_SHOP,Помста Луїса
TID_V8-BIT_SKIN,Палаючий Фенікс
TID_V8-BIT_SKIN_SHOP,Проколовся
TID_TEAM_LOOKING_2,Джерело дорогоцінних каменів
TID_TEAM_PLAYER_2,Електрична Зона
TID_TEAM_INVITE_TEAM_UP,Сила куба
TID_TEAM_INVITE_API,Міцна Хватка
TID_SHOWDOWN_63,Двійкове кодування
TID_SHOWDOWN_66,Робо Кільце
TID_KNOCKOUT_13,Дрібнички
TID_KNOCKOUT_15,Діагональний провулок
TID_GEMGRAB_45,Гримучий Яр
TID_GEMGRAB_46,Ніч в музеї
TID_BOUNTY_23,Небезпечна зона
TID_BOUNTY_24,КЛУБНА ЛІГА
TID_BRAWLBALL_45,КЛУБНА ЛІГА
TID_BRAWLBALL_46,<ЛІГА> ЛІГА
TID_SIEGE_23,ПРОГРЕС
TID_SIEGE_24,НАГОРОДИ
TID_HEIST_30,Квитки:
TID_HEIST_32,ДЕНЬ ПОДІЇ <NUM>/<MAX>
TID_HOTZONE_29,День події <ДЕНЬ>
TID_HOTZONE_31,НОВИЙ ДЕНЬ!
TID_CLUB_LEAGUE_TITLE,НАСТУПНІ ПОДІЇ
TID_CLUB_LEAGUE_HOMESCREEN_TITLE,Наступний День заходи:
TID_CLUB_LEAGUE_NAME,Наступний сезон стартує в:
TID_CLUB_LEAGUE_TAB_PROGRESS,Сезон ранг: <РАНГ>
TID_CLUB_LEAGUE_TAB_REWARDS,Не ранжируваний в сезоні
TID_CLUB_LEAGUE_BUTTON_TICKETS,"Вступайте в Клуб, щоб грати"
TID_CLUB_LEAGUE_EVENT_DAY,Реєстрація закрита
TID_CLUB_LEAGUES_BUTTON_EVENT_DAY,<ЧАС> залишилося
TID_CLUB_LEAGUES_BUTTON_DAY_NEW,Наступний день заходу починається у:
TID_CLUB_LEAGUES_BUTTON_NEXT_EVENTS,<ЧАС>
TID_CLUB_LEAGUES_BUTTON_RACE_COOLDOWN_DESC,Сезон починається: <ЧАС>
TID_CLUB_LEAGUES_BUTTON_SEASON_COOLDOWN_DESC,КЛУБНА ЛІГА
TID_CLUB_LEAGUES_BUTTON_SEASON_RANK,Події наступного сезону:
TID_CLUB_LEAGUES_BUTTON_SEASON_RANK_NOT_RANKED,<NUM><cA4B7E0>/ГРАТИ</c>
TID_CLUB_LEAGUES_BUTTON_JOIN_CLUB_DESC,Макс/Виграш
TID_CLUB_LEAGUES_BUTTON_REGISTRATION_CLOSED,Перемога з клубною командою:
TID_CLUB_LEAGUE_EVENT_TIME_LEFT,Не в Клубній команді
TID_CLUB_LEAGUE_EVENT_RACE_COOLDOWN_DESC,<NUM>/<MAX> Члени клубу в Команді
TID_CLUB_LEAGUE_EVENT_RACE_COOLDOWN_TIME,У клубній команді
TID_CLUB_LEAGUE_EVENT_SEASON_COOLDOWN_TIME,Повна клубна команда
TID_CLUB_LEAGUE_EVENT_SEASON_COOLDOWN_TITLE,<NUM><cFFFFFF>/Win < /c>
TID_CLUB_LEAGUE_EVENT_SEASON_NEXT_EVENTS,Клуб не входить в Лігу
TID_CLUB_LEAGUE_TICKETS_PER_PLAY,В очікуванні старту Ліги
TID_CLUB_LEAGUE_TROPHIES_MAX_PER_WIN,Не вистачає квитків
TID_CLUB_LEAGUE_EVENT_TROPHY_WIN_DESC,<NUM> потрібно більше квитків
TID_CLUB_LEAGUE_TEAM_MEMBERS_NO_TEAM,<NUM> потрібен ще один квиток
TID_CLUB_LEAGUE_TEAM_MEMBERS_PARTIAL,Не вистачає квитків на гру!
TID_CLUB_LEAGUE_TEAM_MEMBERS_CLUB,КОМАНДНИЙ БОНУС
TID_CLUB_LEAGUE_TEAM_MEMBERS_FULL,СИЛОВА СІРНИК
TID_CLUB_LEAGUE_TROPHY_REWARD_PER_WIN,Кращий з 3
TID_CLUB_LEAGUE_WARNING_NOT_IN_LEAGUE,БРОНЗА I
TID_CLUB_LEAGUE_WARNING_WAITING_LEAGUE,БРОНЗА II
TID_CLUB_LEAGUE_WARNING_NOT_ENOUGH_TICKETS,БРОНЗА III
TID_CLUB_LEAGUE_WARNING_MORE_TICKETS_NEEDED,СРІБЛО I
TID_CLUB_LEAGUE_WARNING_MORE_TICKETS_NEEDED_SINGLE,СІЛЬВЕР II
TID_CLUB_LEAGUE_WARNING_NOT_ENOUGH_TICKETS_FLOATER,СРІБЛО III
TID_BATTLE_END_CLUB_LEAGUE_TEAM_BONUS,ЗОЛОТО I
TID_EVENT_NAME_CLUB_LEAGUE_COMPETITIVE,ЗОЛОТО II
TID_EVENT_LOCATION_CLUB_LEAGUE_COMPETITIVE_DESC,ЗОЛОТО III
TID_CLUB_LEAGUE_BRONZE_I,АЛМАЗ I
TID_CLUB_LEAGUE_BRONZE_II,АЛМАЗ II
TID_CLUB_LEAGUE_BRONZE_III,АЛМАЗ III
TID_CLUB_LEAGUE_SILVER_I,МІФІЧНЕ Я
TID_CLUB_LEAGUE_SILVER_II,MYTHIC II
TID_CLUB_LEAGUE_SILVER_III,МІФІЧНИЙ III
TID_CLUB_LEAGUE_GOLD_I,ЛЕГЕНДАРНИЙ I
TID_CLUB_LEAGUE_GOLD_II,LEGENDARY II
TID_CLUB_LEAGUE_GOLD_III,ЛЕГЕНДАРНИЙ III
TID_CLUB_LEAGUE_DIAMOND_I,МАЙСТРИ
TID_CLUB_LEAGUE_DIAMOND_II,Я
TID_CLUB_LEAGUE_DIAMOND_III,II
TID_CLUB_LEAGUE_MYTHIC_I,III
TID_CLUB_LEAGUE_MYTHIC_II,ХІД СЕЗОНУ
TID_CLUB_LEAGUE_MYTHIC_III,Закінчується:
TID_CLUB_LEAGUE_LEGENDARY_I,Чекаємо остаточних результатів
TID_CLUB_LEAGUE_LEGENDARY_II,Чекаємо результатів сезону
TID_CLUB_LEAGUE_LEGENDARY_III,Обробляються результати сезону. Приходьте пізніше за остаточними результатами!
TID_CLUB_LEAGUE_MASTERS,Результати:
TID_CLUB_LEAGUE_TIER_1,СЕЗОН ЗАКІНЧЕНО!
TID_CLUB_LEAGUE_TIER_2,СЕЗОН ЗАКІНЧЕНО
TID_CLUB_LEAGUE_TIER_3,Максимальна кількість доступних трофеїв
TID_CLUB_LEAGUE_SEASON_PROGRESS,ХІД СЕЗОНУ
TID_CLUB_LEAGUE_SEASON_ENDS_IN,РЕЗУЛЬТАТИ СЕЗОНУ
TID_CLUB_LEAGUE_WAITING_FINAL_RESULTS,ПРОСУВАННЯ
TID_CLUB_LEAGUE_WAITING_FINAL_SEASON_RESULTS,ПРОСУВАННЯ X<NUM>
TID_CLUB_LEAGUE_WAITING_FINAL_SEASON_RESULTS_DESC,ПОНИЖЕННЯ В ПОСАДІ
TID_CLUB_LEAGUE_RESULTS_TITLE,ПОНИЖЕННЯ В ПОСАДІ X<NUM>
TID_CLUB_LEAGUE_SEASON_OVER,НАЗВА КЛУБУ
TID_CLUB_LEAGUE_SEASON_OVER_2,ЩОДЕННІ РАНГИ
TID_CLUB_LEAGUE_MAX_TROPHIES_AVAILABLE,ЗАГАЛЬНА КІЛЬКІСТЬ БАЛІВ
TID_CLUB_LEAGUE_SEASON_PROGRESS_TITLE,МАКСИМАЛЬНА НАГОРОДА
TID_CLUB_LEAGUE_SEASON_RESULTS_TITLE,Підвищуйте свій прогрес і купуйте ексклюзивні скіни!
